,232_type_of_store,5_change_store_space_last_year,6_change_employees_average_salary_last_year,49_inventory_records,18_sales_records,210_sales_channels,214_customer_relationship_tools,38_average_margin_profits,193_sales_planning_tools,56_procurement_changes_pandemic,279_changes_procurement_pandemic,162_inventory_extra_space,249_technology_training,263_technology_secure_sales
19,Ropa,No cambió,Aumentó 15%,En papel,En papel,Página web propia,Redes sociales,30%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,De acuerdo
20,joyeria,No cambió,0,En papel,En papel,no,Ninguna,30%,Ninguna,no,Aumentar la cantidad del pedido,0,Totalmente de acuerdo,Totalmente de acuerdo
21,Grocery store (aka. nanostore),Aumentó 15%,Aumentó 25%,En papel,En papel,Llamada a Teléfono fijo,Ninguna,20%,Ninguna,no,Aumentar la cantidad del pedido,10%,Totalmente en desacuerdo,De acuerdo
22,Grocery store (aka. nanostore),Aumentó 15%,Aumentó 15%,En Excel,En Excel,WhatsApp,Aplicación móvil,20%,Excel,no,Aumentar la cantidad del pedido,20%,De acuerdo,De acuerdo
23,Grocery store (aka. nanostore),Aumentó 15%,Aumentó 15%,No lo hago,No lo hago,Llamada a Teléfono fijo,Ninguna,15%,Ninguna,no,Aumentar la cantidad del pedido,10%,De acuerdo,Totalmente de acuerdo
24,Grocery store (aka. nanostore),Aumentó 25%,Aumentó 25%,En Excel,En Excel,Llamada a Teléfono fijo,Cuaderno,15%,Ninguna,no,Aumentar la cantidad del pedido,20%,De acuerdo,Totalmente de acuerdo
25,Grocery store (aka. nanostore),Aumentó 15%,No cambió,No lo hago,No lo hago,Llamada a Teléfono celular,Ninguna,15%,Ninguna,no,Aumentar la cantidad del pedido,10%,De acuerdo,Ni de acuerdo ni en desacuerdo
26,Grocery store (aka. nanostore),Aumentó 15%,Aumentó 15%,En Excel,En Excel,Llamada a Teléfono celular,Cuaderno,15%,Cuaderno,yes,Aumentar la cantidad del pedido,10%,De acuerdo,Ni de acuerdo ni en desacuerdo
27,Micro-restaurant (aka. fondita),Aumentó 50% o más,Aumentó 15%,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,30%,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Totalmente de acuerdo
28,Barbería ,Aumentó 50% o más,Aumentó 15%,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,40%,Ninguna,no,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,De acuerdo
29,Micro-restaurant (aka. fondita),Aumentó 50% o más,Aumentó 15%,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,40%,Ninguna,no,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,De acuerdo
30,Butcher shop,Aumentó 50% o más,Aumentó 15%,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,40%,Ninguna,no,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,De acuerdo
31,Bakery ,Aumentó 50% o más,Aumentó 15%,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,40%,Ninguna,no,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,De acuerdo
32,Shoes,Aumentó 50% o más,Aumentó 15%,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,40%,Ninguna,no,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,De acuerdo
33,Micro-restaurant (aka. fondita),Aumentó 50% o más,Aumentó 15%,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,40%,Ninguna,no,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,De acuerdo
34,Pets,No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,WhatsApp",Ninguna,40%,Ninguna,no,Disminuir la cantidad del pedido,10%,Totalmente en desacuerdo,Totalmente de acuerdo
35,Micro-restaurant (aka. fondita),Aumentó 25%,No cambió,No lo hago,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,WhatsApp",Aplicación móvil,30%,Cuaderno,yes,Disminuir la cantidad del pedido,20%,Totalmente en desacuerdo,Totalmente de acuerdo
36,Internet ,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",30%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,De acuerdo,De acuerdo
37,Sastrería ,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",30%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,De acuerdo,De acuerdo
38,Dairy products,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",30%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,De acuerdo,De acuerdo
39,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",30%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,De acuerdo,De acuerdo
40,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",30%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,De acuerdo,De acuerdo
41,Grocery store (aka. nanostore),No cambió,No cambió,En Excel,En papel,WhatsApp,"Aplicación móvil,Redes sociales",30%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,De acuerdo
42,Micro-restaurant (aka. fondita),No cambió,Disminuyó 25%,En Excel,En Excel,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",50% +,Software especializado,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente de acuerdo,Totalmente de acuerdo
43,Micro-restaurant (aka. fondita),No cambió,Disminuyó 25%,No lo hago,En papel,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",50% +,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,En desacuerdo,En desacuerdo
44,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,WhatsApp,Aplicación móvil,15%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,Totalmente de acuerdo
45,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,En papel,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",10%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,De acuerdo,En desacuerdo
46,Tuberías ,Disminuyó 50% o más,No cambió,En papel,En papel,WhatsApp,Aplicación móvil,20%,Ninguna,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Totalmente de acuerdo,De acuerdo
47,Dairy products,Disminuyó 50% o más,No cambió,En papel,En papel,WhatsApp,Aplicación móvil,20%,Ninguna,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Totalmente de acuerdo,De acuerdo
48,Grocery store (aka. nanostore),Disminuyó 50% o más,No cambió,En papel,En papel,WhatsApp,Aplicación móvil,20%,Ninguna,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Totalmente de acuerdo,De acuerdo
49,Micro-restaurant (aka. fondita),Disminuyó 25%,No cambió,No lo hago,No lo hago,Llamada a Teléfono fijo,Ninguna,10%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,De acuerdo
50,Micro-restaurant (aka. fondita),No cambió,No cambió,No lo hago,En papel,WhatsApp,Aplicación móvil,5%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente en desacuerdo,De acuerdo
51,Grocery store (aka. nanostore),No cambió,Aumentó 50% o más,"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora",En papel,WhatsApp,Ninguna,15%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,De acuerdo,De acuerdo
52,Autopartes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Redes sociales",30%,Ninguna,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Totalmente de acuerdo
53,Dairy products,Disminuyó 25%,No cambió,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Teléfono ,15%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,De acuerdo
54,Bordados,No cambió,No cambió,Aplicación móvil (i.e. App) + smartphone,A veces escrita a veces en App ,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Redes sociales",10%,Mentalmente,no,"Aumentar la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente de acuerdo,De acuerdo
55,Dairy products,Aumentó 25%,Aumentó 25%,En Excel,En Excel,Llamada a Teléfono celular,Ninguna,15%,Excel,no,"Aumentar la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
56,Dairy products,Aumentó 50% o más,Aumentó 15%,En Excel,En Excel,WhatsApp,Excel,15%,Excel,no,"Aumentar la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,De acuerdo,De acuerdo
57,Dairy products,Aumentó 50% o más,Aumentó 15%,En Excel,En Excel,WhatsApp,Excel,15%,Excel,no,"Aumentar la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,De acuerdo,De acuerdo
58,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,WhatsApp",Ninguna,15%,Ninguna,yes,"Aumentar la cantidad del pedido,Disminuir la frecuencia de pedidos",30%,De acuerdo,Totalmente en desacuerdo
59,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats)","Personal ,Redes sociales",5%,Ninguna,yes,Disminuir la cantidad del pedido,15%,Totalmente de acuerdo,Totalmente de acuerdo
60,Dairy products,Aumentó 15%,No cambió,Software especializado + computadora,Software especializado + computadora,"Aplicación móvil (e.g. Rappi, Uber Eats)","Personal ,Redes sociales",5%,Ninguna,yes,Disminuir la cantidad del pedido,15%,Totalmente de acuerdo,Totalmente de acuerdo
61,Dairy products,Aumentó 25%,No cambió,En papel,En papel,Ningún ,Cuaderno,10%,Ninguna,no,Disminuir la cantidad del pedido,0,Totalmente de acuerdo,Totalmente de acuerdo
62,Dairy products,No cambió,Aumentó 15%,En papel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats)",Aplicación móvil,30%,Aplicación móvil,no,Disminuir la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
63,Cleaning Products ,No cambió,Aumentó 15%,En papel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats)",Aplicación móvil,30%,Aplicación móvil,no,Disminuir la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
64,Dairy products,No cambió,Aumentó 15%,En papel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats)",Aplicación móvil,30%,Aplicación móvil,no,Disminuir la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
65,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,En papel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats)",Aplicación móvil,30%,Aplicación móvil,no,Disminuir la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
66,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,WhatsApp,"Excel,Ninguna",20%,Cuaderno,no,Disminuir la cantidad del pedido,0,Ni de acuerdo ni en desacuerdo,De acuerdo
67,Micro-restaurant (aka. fondita),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono fijo,Redes sociales,40%,Ninguna,yes,Disminuir la cantidad del pedido,20%,De acuerdo,Totalmente en desacuerdo
68,Grocery store (aka. nanostore),No cambió,No cambió,En Excel,Software especializado + computadora,"Página web propia,Redes sociales (e.g. Facebook, Instagram)",Redes sociales,40%,Ninguna,yes,Disminuir la cantidad del pedido,0,De acuerdo,Totalmente en desacuerdo
69,Micro-restaurant (aka. fondita),Disminuyó 15%,No cambió,En Excel,"En Excel,En papel","Llamada a Teléfono fijo,WhatsApp",Redes sociales,40%,Ninguna,yes,Disminuir la cantidad del pedido,0,De acuerdo,Totalmente en desacuerdo
70,Ferretería ,No cambió,No cambió,En Excel,En Excel,"Llamada a Teléfono fijo,WhatsApp",Redes sociales,5%,Excel,yes,Disminuir la cantidad del pedido,0,De acuerdo,Totalmente en desacuerdo
71,Micro-restaurant (aka. fondita),No cambió,No cambió,Aplicación móvil (i.e. App) + smartphone,Aplicación móvil (i.e. App) + smartphone,"Aplicación móvil (e.g. Rappi, Uber Eats),WhatsApp",Redes sociales,5%,Aplicación móvil,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente de acuerdo,Totalmente en desacuerdo
72,Peluquería ,No cambió,No cambió,No lo hago,En papel,Ninguno,Ninguna,5%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente en desacuerdo,Totalmente en desacuerdo
73,Grocery store (aka. nanostore),No cambió,Disminuyó 25%,En papel,No lo hago,Ninguno,Ninguna,10%,Ninguna,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
74,Copias ,No cambió,No cambió,En Excel,En Excel,No lo hace ,Ninguna,15%,Excel,no,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,Totalmente de acuerdo
75,Grocery store (aka. nanostore),No cambió,Aumentó 25%,No lo hago,Caja registradora (análoga),No lo hace ,Ninguna,10%,Cuaderno,yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Totalmente de acuerdo
76,Tintorería ,Aumentó 15%,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)",Software especializado,10%,Software especializado,yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,Totalmente de acuerdo,De acuerdo
77,Cosméticos ,No cambió,No cambió,"En Excel,En papel","En Excel,Software especializado + computadora",WhatsApp,Redes sociales,10%,"Aplicación móvil,Excel",yes,Disminuir la frecuencia de pedidos,10%,De acuerdo,Ni de acuerdo ni en desacuerdo
78,Tailor shop,No cambió,No cambió,"En Excel,En papel","En Excel,Software especializado + computadora",WhatsApp,Redes sociales,10%,"Aplicación móvil,Excel",yes,Disminuir la frecuencia de pedidos,10%,De acuerdo,Ni de acuerdo ni en desacuerdo
79,Micro-restaurant (aka. fondita),No cambió,No cambió,"En Excel,En papel","En Excel,Software especializado + computadora",WhatsApp,Redes sociales,10%,"Aplicación móvil,Excel",yes,Disminuir la frecuencia de pedidos,10%,De acuerdo,Ni de acuerdo ni en desacuerdo
80,Micro-restaurant (aka. fondita),No cambió,No cambió,"En Excel,En papel","En Excel,Software especializado + computadora",WhatsApp,Redes sociales,10%,"Aplicación móvil,Excel",yes,Disminuir la frecuencia de pedidos,10%,De acuerdo,Ni de acuerdo ni en desacuerdo
81,Pet store,No cambió,No cambió,"En Excel,En papel","En Excel,Software especializado + computadora",WhatsApp,Redes sociales,10%,"Aplicación móvil,Excel",yes,Disminuir la frecuencia de pedidos,10%,De acuerdo,Ni de acuerdo ni en desacuerdo
82,Micro-restaurant (aka. fondita),No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
83,Micro-restaurant (aka. fondita),No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
84,Spa,No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
85,Beauty products ,No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
86,Estética unisex ,No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
87,Produce (fruits & vegetables),No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
88,Micro-restaurant (aka. fondita),No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
89,Toys ,No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
90,Micro-restaurant (aka. fondita),No cambió,No cambió,En Excel,En Excel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,45%,"Cuaderno,Excel",no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
91,Micro-restaurant (aka. fondita),No cambió,No cambió,No lo hago,En papel,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,30%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,De acuerdo,De acuerdo
92,internet ,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",30%,"Aplicación móvil,Software especializado",yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente de acuerdo,De acuerdo
93,Grocery store (aka. nanostore),No cambió,No cambió,Aplicación móvil (i.e. App) + smartphone,Aplicación móvil (i.e. App) + smartphone,WhatsApp,Redes sociales,35%,Ninguna,no,Aumentar la cantidad del pedido,0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
94,Estudio fotográfico ,No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,WhatsApp",Redes sociales,30%,Ninguna,no,Aumentar la cantidad del pedido,0,De acuerdo,Totalmente de acuerdo
95,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,WhatsApp",Redes sociales,30%,Ninguna,no,Aumentar la cantidad del pedido,0,De acuerdo,Totalmente de acuerdo
96,Estética ,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,15%,Ninguna,no,Aumentar la cantidad del pedido,0,Totalmente en desacuerdo,En desacuerdo
97,Produce (fruits & vegetables),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,15%,Ninguna,no,Aumentar la cantidad del pedido,0,Totalmente en desacuerdo,En desacuerdo
98,Panadería ,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,15%,Ninguna,no,Aumentar la cantidad del pedido,0,Totalmente en desacuerdo,En desacuerdo
